complexity,loss,equation,score
1,0.8960454,-0.53326625,0.0
4,0.7456583,thetaestar + -0.47157785,0.061241209653165686
6,0.72401416,(thetaestar * 0.73421526) + -0.48732263,0.014728251084558395
7,0.68590343,"max(thetaestar + -0.78304654, -0.6730821)",0.05407410498376936
8,0.6357892,(neg(rh) * thetaestar) + -0.6330483,0.07586978336304454
9,0.58533293,(thetaestar * square(rh)) + -0.5634889,0.08268626539804119
11,0.56294864,((thetaestar + 0.27897245) * square(rh)) + -0.6986328,0.01949619902976799
12,0.5375136,"square(min(thetaestar, 1.4768717) * rh) + -0.70720005",0.04623433639381874
13,0.5241542,"cube(neg(rh) * min(thetaestar, 1.1516992)) + -0.6447935",0.025168146167437365
14,0.51753587,"square(min(thetaestar - -0.24629828, 1.4665524) * rh) + -0.7060793",0.012707079092782495
16,0.5156219,"square(min(thetaestar + 0.28901416, 1.6036453) * (rh + 0.10453533)) + -0.71690136",0.001852545898710346
17,0.5128343,"((lf - -2.2323782) * -0.2536592) + cube(neg(rh * min(thetaestar, 1.1479061)))",0.005420953904573967
18,0.5074852,"(lhf * 0.1306577) + (cube(neg(rh) * min(thetaestar, 1.159607)) + -0.64425254)",0.0104852431159562
19,0.4985461,"square(min(thetaestar + 0.25471002, 1.4690418) * rh) + ((lhf * 0.13846976) + -0.7037911)",0.017771485370714442
21,0.49547538,"square((min(thetaestar, 1.322203) + 0.30708584) * (rh - -0.109591454)) + ((lhf * 0.13893639) + -0.7047792)",0.003089198603742033
22,0.49404618,"min(shf, 0.5518571 - lf) + (square((min(thetaestar, 1.1338755) + 0.32719442) * rh) + -0.4411473)",0.002888670750782158
23,0.49291867,"((lhf * 0.13581641) + -0.68049055) + square(min(thetaestar - -0.442955, 1.8060919) * (abs(rh) + -0.24151357))",0.002284803740472888
24,0.48981404,"min(shf, 0.50400245 - lf) + (square((min(thetaestar, 1.287811) + 0.37222642) * (rh + 0.15629655)) + -0.43327293)",0.006318381991308766
25,0.48021302,"square(min(shf + 0.6267312, 1.1354207 - lf)) + (cube(rh * neg(min(thetaestar, 1.1622293))) + -0.82444924)",0.019796011746160996
26,0.46393275,"square(min(shf + 0.65755486, 1.1751207 - lf)) + (square((min(thetaestar, 1.1582234) + 0.317406) * rh) + -0.9283469)",0.034490190744921274
28,0.4611932,"square(min(shf + 0.66734815, 1.2296777 - lf)) + (square((min(thetaestar, 1.2296777) + 0.3444679) * (rh + 0.088781334)) + -0.943813)",0.0029612811183922427
30,0.46080613,"square(min(shf + 0.66734815, square(1.2296777 - lf))) + (square((min(thetaestar, 1.2296777) + 0.3444679) * (rh + 0.088781334)) + -0.9048619)",0.0004198159479571423
