complexity,loss,equation,score
1,3.4430857,-0.41075653,0.0
2,2.8070724,thetaestar,0.20422598542164186
4,2.6139357,thetaestar * 1.7858576,0.03564253656279694
5,2.2085402,neg(cube(rh)),0.16852526229412948
6,1.9362463,-0.5218506 - cube(rh),0.13158055245175032
7,1.5637263,square(rh) * thetaestar,0.21367957502801838
9,1.2943579,(square(rh) * thetaestar) + -0.51921946,0.0945284423687807
11,1.0744088,(thetaestar * cube(rh * -0.87884134)) + -0.65774935,0.09312209262995194
12,0.8428386,"-0.68468136 - cube(min(1.1518946, thetaestar) * rh)",0.24275035519701038
14,0.84027386,"-0.6877333 - cube(min(1.1506795, thetaestar - -0.040073358) * rh)",0.0015238090419123062
15,0.8322276,"-0.6577267 - cube(min(1.1509289, thetaestar) * min(-0.6297841, rh))",0.009621901409236182
16,0.8227032,"(cube(min(1.8156855, thetaestar - -0.5233237) * rh) * -0.26101106) + -0.67751014",0.011510457304412667
17,0.7932785,"-0.7022513 - cube(min(1.160826, thetaestar - (thetae * 0.31249025)) * rh)",0.03642114583740323
18,0.7932762,"cube(min(1.1615083, thetaestar - (thetae * 0.31593063)) * neg(rh)) + -0.7069001",2.8993642639676536e-06
19,0.7675245,"-0.71424747 - cube(min(1.1645356, thetaestar - ((thetae * 0.43694097) + -0.13374642)) * rh)",0.03300105782138728
20,0.758186,"-0.56069106 - cube(min(1.1570724, thetaestar - (thetae * 0.4585497)) * min(rh, -0.7182561))",0.012241662649224778
21,0.74102,"(cube(min(1.6843017, thetaestar - ((thetae * 0.5329411) + -0.5329667)) * rh) * -0.32972738) + -0.67943347",0.022901122641586273
22,0.7369673,"-0.541472 - cube(min(1.1574558, thetaestar - (thetae * 0.5547238)) * min(rh, 0.038924523 - lf))",0.005484093343926263
23,0.7253986,"-0.5758539 - cube(min(1.1594688, thetaestar - (thetae * 0.5761445)) * min(rh, lhf * 0.6354595))",0.01582222526396086
24,0.7121216,"-0.67055756 - cube(min(1.1620536, (thetaestar - (rh * -0.36287558)) - ((thetae + -1.2743534) * 0.65272933)) * rh)",0.01847261353079487
26,0.7004632,"-0.70122325 - cube(min(1.1644112, (thetaestar - (abs(rh) * 0.621583)) - ((thetae + -1.9827012) * 0.67199636)) * rh)",0.008253426426859554
27,0.7004071,"cube(min(1.16517, (thetaestar - abs(rh * 0.60195386)) - ((thetae + -1.923832) * 0.6719743)) * neg(rh)) + -0.7069001",8.009306790211283e-05
28,0.69896317,"(cube(min(1.2607033, (thetaestar - abs(rh * -0.58689904)) - ((thetae + -2.005627) * 0.6667271)) * rh) * -0.78831977) + -0.7033863",0.0020636861356940883
29,0.6980369,"cube((min(1.3599914, (thetaestar - (rh * -0.6947263)) - ((thetae + -2.3994732) * 0.68358535)) * min(rh, -0.44252816)) * -0.8577829) + -0.78737223",0.0013260845945944875
