complexity,loss,equation,score
1,0.9714466,0.6192271,0.0
2,0.8162056,rh,0.17412001674856822
4,0.6486864,rh * 1.949218,0.11485844450966456
6,0.61531615,exp(rh) - 0.65272784,0.026406597115651704
8,0.59277177,exp((rh + -0.5640871) * 1.5784892),0.018663374685275392
9,0.5927689,exp(rh / 0.63288933) * 0.4090954,4.841672787169243e-06
10,0.5653274,thetae + ((rh - thetaestar) + -0.4545586),0.047399577372018484
11,0.49392605,cube(thetae + ((thetaestar + 0.12953717) * -1.4468392)),0.13501922271961472
13,0.48584956,cube((thetae + ((thetaestar + 0.2699302) * -1.4488095)) * 1.2236619),0.008243390485150425
14,0.48311132,cube(thetae + ((thetaestar + 0.2329275) * -1.5277117)) + rh,0.005651925368236522
15,0.46970528,"cube(max(thetae + ((thetaestar - -0.13990918) * -1.4617927), rh))",0.028141669099925905
16,0.45240545,cube(rh) + cube(thetae + ((thetaestar + 0.2045302) * -1.4828165)),0.037526643156978685
17,0.44138741,"cube(max(thetae + ((thetaestar + 0.25637642) * -1.469801), rh) * 1.1709057)",0.02465582049647639
19,0.44057167,"cube(max(thetae + ((thetaestar + 0.2856535) * -1.4707872), rh * 0.9459167)) * 1.8528425",0.0009249184583651584
20,0.4331203,"cube((rh * 0.14108765) + max(thetae + ((thetaestar + 0.18888411) * -1.4927413), rh))",0.017057615102940793
22,0.43175355,"cube(max(rh, thetae + ((thetaestar + 0.18888411) * -1.4927413)) * ((rh * 0.11579831) + 1.0049012))",0.001580289585278832
25,0.4308975,"(rh * -0.1035326) + cube((rh * 0.16109207) + max(thetae + ((thetaestar + 0.18764865) * -1.4927413), rh))",0.0006615655163617093
28,0.4290577,"((rh - thetaestar) * -0.13520487) + cube((rh * 0.16133386) + max(thetae + ((thetaestar + 0.18256979) * -1.5239214), rh))",0.0014262780254794894
