complexity,loss,equation,score
1,0.6720535,bl,0.0
3,0.6173441,cube(bl),0.04245569172937617
5,0.5193366,(bl * 2.921007) - 1.3993826,0.08643716956617346
6,0.50290513,(3.3626225 ^ bl) + -1.763291,0.03215068389728689
7,0.4926234,cube(bl + 0.29300782) + -0.49495944,0.02065655635777643
9,0.4924115,"max(-0.5996523, cube(bl + 0.29106805) + -0.49281374)",0.00021511928487877926
11,0.49238983,"(square(max(-0.070056714, bl) + 0.456368) * bl) - 0.456368",2.2004438198227837e-05
13,0.4923333,"(bl * (square(max(bl, -0.41405317) + 0.41405317) + 0.121314965)) - 0.46804914",5.7406999327907194e-05
15,0.492282,"((square(max(-0.0018472695, bl + 0.41681123)) + 0.12552395) * max(-1.2081059, bl)) - 0.46709895",5.210156702458996e-05
17,0.49225658,"((square(max(bl - bl, bl + 0.41615316)) + 0.12396162) * max(-1.0947365, bl)) - 0.46973163",2.581920152449083e-05
19,0.49224052,"((square(max((bl * 0.9662476) - bl, bl + 0.41615316)) + 0.12396162) * max(-1.0947365, bl)) - 0.46973163",1.6312897215628052e-05
20,0.49223718,"((square(max((bl / 0.9662476) - bl, bl + 0.41615316)) + 0.120350204) * max(-1.0947365, bl)) - 0.46973163",6.785323832142241e-06
