complexity,loss,equation,score
1,0.9966985,0.63495684,0.0
2,0.8386489,rh,0.1726561724977744
4,0.6579878,rh * 1.9745618,0.12130287719405958
6,0.6221038,exp(rh) + -0.6472064,0.028039715137483535
7,0.6002073,4.8953047 ^ (rh + -0.56092596),0.03583186430026313
9,0.5696657,cube((0.8580929 * thetae) - thetaestar),0.02611269899874748
11,0.50889486,cube(thetae - ((thetaestar + 0.13008223) * 1.4391289)),0.056404132109821724
13,0.5014979,cube(((thetae - 0.35209647) - (thetaestar * 1.4443446)) * 1.1729504),0.007321006686045405
14,0.4670593,"cube(max(rh, (thetae * 0.7035256) - thetaestar)) * 1.6611104",0.07114318961995755
16,0.4429456,"cube(max((thetae - 0.3742456) - (thetaestar * 1.4632431), rh)) * 1.5897455",0.026504633463967375
19,0.4346287,"cube(max(rh, (thetae - (thetaestar * 1.3903365)) + -0.44463468)) * (2.9988544 - abs(lf))",0.006318286676620251
20,0.42787084,"(3.074834 - max(lf, 1.0216641)) * cube(max(rh, (thetae + -0.42015034) - (thetaestar * 1.4013497)))",0.015670729040370517
21,0.42681545,"cube(max(rh, (thetae - 0.4216549) - (thetaestar * 1.4048483))) * ((6.896358 - lf) / 3.5182633)",0.00246965593988769
22,0.42470276,"(cube(max((thetae - 0.4056121) - (thetaestar * 1.450264), rh)) * (7.842193 - lhf)) / 4.4984946",0.004962182394447553
23,0.40656412,"(2.9496217 - max(shf - lf, lf)) * cube(max((thetae + -0.4262692) - (thetaestar * 1.3631898), rh))",0.04364788267698162
25,0.40016112,"cube(max(((-0.29049224 - thetaestar) * 1.3629538) + thetae, rh)) * (3.0343828 - max((shf + 0.39825433) - lf, lf))",0.007937193660127892
26,0.3941469,"(2.920908 - max(shf + (shf - lf), lf)) * cube(max((thetae + -0.40124488) - (thetaestar * 1.3135638), rh))",0.015143583556857371
28,0.3891476,"cube(max(rh, (thetae - (thetaestar * 1.3234916)) + -0.38349876)) * (2.9381883 - max(shf + ((shf + 0.26311532) - lf), lf))",0.006382488175140693
29,0.38813034,"cube(max((thetae - (thetaestar * 1.3234916)) + -0.38349876, rh)) * abs(2.9381883 - max(shf + ((shf + 0.2975276) - lf), lf))",0.0026174950514981318
30,0.38763356,"(cube(max(rh, (thetae + -0.42367518) - (thetaestar * 1.3501621))) + 0.07086942) * (2.9845908 - max((0.3437999 - lf) + (shf + shf), lf))",0.0012807506714520459
