complexity,loss,equation,score
1,0.99821365,0.64047897,0.0
2,0.38963455,sr_sfc,0.9407580830216865
4,0.3871931,sr_sfc * 0.95348513,0.0031428567694628865
6,0.38715282,(sr_sfc * 0.9616425) + -0.014669806,5.2018095525464765e-05
7,0.38339877,sr_sfc + (thetaestar * 0.23985346),0.009743876335971785
9,0.38148862,(sr_sfc * (-5.676305 - rh)) * -0.14971484,0.002497300904502264
10,0.38136277,"max(0.08009378, (thetaestar * 0.24577187) + sr_sfc)",0.0003299463114085787
11,0.38020465,(((-4.050748 - rh) * sr_sfc) * -0.19018836) + 0.08436287,0.0030414139636819252
12,0.3791466,((sr_sfc * (-5.8950176 - rh)) - thetae) * -0.13382797,0.002786722704990629
14,0.3784833,(thetae + (((-4.4054337 - rh) * sr_sfc) * -1.7612169)) * 0.10015723,0.0008754936539209088
15,0.37750837,"max(((sr_sfc * (-6.1459846 - rh)) - thetaestar) * -0.14203948, 0.08176033)",0.0025792097430449184
17,0.3772029,"max(0.03194233, ((sr_sfc * (-5.7510695 - rh)) - thetaestar) * -0.14712302) - -0.04701779",0.0004047508349530659
20,0.37704536,"((sr_sfc * (-3.0322676 - min(rh, thetae))) + neg(max(sr_sfc, 0.69125575))) * -0.20563993",0.00013924681535758564
22,0.37677544,"(((-2.9452913 - min(thetae, rh)) * sr_sfc) + (max(sr_sfc, 0.49723405) / -0.5978211)) * -0.18361336",0.00035806920097689396
