complexity,loss,equation,score,sympy_format,lambda_format
1,0.9755941,-0.00972583,0.0,-0.00972583000000000,PySRFunction(X=>-0.00972583000000000)
2,0.6708069,rh,0.37456530264144966,rh,PySRFunction(X=>rh)
4,0.6410798,cube(rh),0.022663686984886078,rh**3,PySRFunction(X=>rh**3)
6,0.6244552,cube(rh * 1.0976994),0.01313717627465522,1.32266627593266*rh**3,PySRFunction(X=>1.32266627593266*rh**3)
7,0.62445515,cube(rh) / 0.75656885,8.006979844414384e-08,rh**3/0.75656885,PySRFunction(X=>rh**3/0.75656885)
8,0.5968236,rh + (shf * (lf - 0.9321857)),0.045257917189048986,rh + shf*(lf - 1*0.9321857),PySRFunction(X=>rh + shf*(lf - 1*0.9321857))
9,0.5889015,rh + (shf * (abs(shf) - 1.367719)),0.013362655274589783,rh + shf*(Abs(shf) - 1*1.367719),PySRFunction(X=>rh + shf*(Abs(shf) - 1*1.367719))
10,0.560665,rh + (shf * cube(lf - 1.2902279)),0.049135357860273426,rh + shf*(lf - 1*1.2902279)**3,PySRFunction(X=>rh + shf*(lf - 1*1.2902279)**3)
11,0.5069855,((thetaestar - (thetae * 0.7017352)) * -6.0985956) + -4.693004,0.10064117563207607,(-0.7017352*thetae + thetaestar)*(-6.0985956) - 4.693004,PySRFunction(X=>(-0.7017352*thetae + thetaestar)*(-6.0985956) - 4.693004)
13,0.49478355,cube((thetaestar - (thetae * 0.6984328)) * -1.3467118) + -1.0362967,0.012181004683432224,-2.44244052059705*(-0.6984328*thetae + thetaestar)**3 - 1.0362967,PySRFunction(X=>-2.44244052059705*(-0.6984328*thetae + thetaestar)**3 - 1.0362967)
15,0.48125246,cube(rh) + ((shf + -0.12902996) * (0.014205759 / (-0.0048366915 - lf))),0.013864198466289253,rh**3 + (shf - 0.12902996)*0.014205759/(-lf - 0.0048366915),PySRFunction(X=>rh**3 + (shf - 0.12902996)*0.014205759/(-lf - 0.0048366915))
16,0.47028905,((thetaestar - (thetae * 0.6934479)) * -3.6067235) + (cube(rh) - 2.802427),0.023044491608136382,rh**3 + (-0.6934479*thetae + thetaestar)*(-3.6067235) - 1*2.802427,PySRFunction(X=>rh**3 + (-0.6934479*thetae + thetaestar)*(-3.6067235) - 1*2.802427)
17,0.46656993,(((shf * 6.0514054) - thetae) * cube(lf - 0.78338695)) + cube(rh),0.00793959307914107,rh**3 + (lf - 1*0.78338695)**3*(shf*6.0514054 - thetae),PySRFunction(X=>rh**3 + (lf - 1*0.78338695)**3*(shf*6.0514054 - thetae))
18,0.45596159,cube(rh) + (((thetaestar * 1.4536395) + (1.119124 - thetae)) * (lhf - 2.7123075)),0.022999339079470358,rh**3 + (lhf - 1*2.7123075)*(-thetae + thetaestar*1.4536395 + 1.119124),PySRFunction(X=>rh**3 + (lhf - 1*2.7123075)*(-thetae + thetaestar*1.4536395 + 1.119124))
20,0.4454597,cube(rh) + ((cube(thetaestar - (thetae * 0.7141643)) * (lf - 2.151701)) - 0.96883804),0.011650895424261383,rh**3 + (lf - 1*2.151701)*(-0.7141643*thetae + thetaestar)**3 - 1*0.96883804,PySRFunction(X=>rh**3 + (lf - 1*2.151701)*(-0.7141643*thetae + thetaestar)**3 - 1*0.96883804)
22,0.43567416,(((lf - 2.0106118) * cube(((thetaestar * 1.3848561) - thetae) + 0.4680432)) + cube(rh)) + -0.5241255,0.011106079079907833,rh**3 + (lf - 1*2.0106118)*(-thetae + thetaestar*1.3848561 + 0.4680432)**3 - 0.5241255,PySRFunction(X=>rh**3 + (lf - 1*2.0106118)*(-thetae + thetaestar*1.3848561 + 0.4680432)**3 - 0.5241255)
23,0.43304566,cube(rh) + ((cube(thetaestar - (thetae * 0.70474714)) * ((lf * rh) - 2.0587792)) - 0.9476713),0.006051451712741615,rh**3 + (-0.70474714*thetae + thetaestar)**3*(lf*rh - 1*2.0587792) - 1*0.9476713,PySRFunction(X=>rh**3 + (-0.70474714*thetae + thetaestar)**3*(lf*rh - 1*2.0587792) - 1*0.9476713)
24,0.4316101,(((lf - 2.3322036) * cube(((thetaestar * 1.377303) - thetae) + 0.41892275)) + (cube(rh) + -0.69166553)) * 0.7888241,0.0033205383817420542,(rh**3 + (lf - 1*2.3322036)*(-thetae + thetaestar*1.377303 + 0.41892275)**3 - 0.69166553)*0.7888241,PySRFunction(X=>(rh**3 + (lf - 1*2.3322036)*(-thetae + thetaestar*1.377303 + 0.41892275)**3 - 0.69166553)*0.7888241)
