complexity,loss,equation,score
1,0.9966994,0.63505125,0.0
2,0.83952653,rh,0.17161114182428208
4,0.6601991,rh * 1.9701428,0.12014831098374694
6,0.624102,exp(rh) + -0.64705145,0.028113819822695056
7,0.60173273,4.891492 ^ (rh + -0.5619123),0.03650043992425901
9,0.5697513,cube((thetae * 0.8608392) - thetaestar),0.027306713399778564
11,0.5075375,cube(thetae + (-0.18291792 - (thetaestar * 1.4404538))),0.0578146750069926
13,0.49992275,cube(((thetae * 1.2064372) + -0.45384264) - (thetaestar * 1.7406422)),0.00755850666293455
14,0.47662556,cube((thetae * 0.7739001) - thetaestar) + cube(rh),0.047722393380921435
15,0.46137294,"(max(rh, (thetae * 0.70743954) - thetaestar) + -0.66529495) * 5.438364",0.032524496679378234
16,0.4584298,cube(rh) + cube((thetae - (thetaestar * 1.4935793)) + -0.303601),0.006399524411979955
17,0.44283634,"cube(max(rh, ((-0.2530737 - thetaestar) * 1.4671731) + thetae) * 1.1665831)",0.03460690589250373
19,0.4422337,"cube(max((thetae * 0.68329173) + (-0.28608143 - thetaestar), rh * 0.6468018)) * 5.837536",0.0006808953708699371
21,0.44171906,"cube(max((((-0.2986189 - thetaestar) * 1.4770061) + thetae) * 1.2591627, exp(rh) * 0.41756707))",0.0005822031237818246
22,0.4344872,"(rh + 2.8671198) * cube(max(((thetae * 0.6744208) + -0.148834) - thetaestar, rh * 0.7216566))",0.016507584008679396
