complexity,loss,equation,score
1,0.9966994,0.63504016,0.0
2,0.83952653,rh,0.17161114182428208
4,0.6601991,rh * 1.9699785,0.12014831098374694
6,0.624102,exp(rh) + -0.646937,0.028113819822695056
7,0.6017339,4.8808613 ^ (rh + -0.5612065),0.036498495541305895
8,0.60173345,exp((rh + -0.5622968) * 1.5845845),7.478391500168365e-07
9,0.5697513,cube((thetae * 0.8606969) - thetaestar),0.05461462334336015
11,0.50753486,cube((thetae + -0.18345115) - (thetaestar * 1.4400029)),0.05781727580680153
13,0.49992266,cube((thetae - (thetaestar * 1.4409788)) - 0.36870313) * 1.711344,0.0075559958770408464
14,0.4766256,cube(rh) + cube((thetae * 0.77387184) - thetaestar),0.04772212942977323
15,0.46139133,"(max((thetae * 0.71041375) - thetaestar, rh) - 0.66118735) * 5.371545",0.032484722102317794
16,0.4584397,cube(thetae + (-0.30283463 - (thetaestar * 1.4902447))) + cube(rh),0.0064177876907909204
17,0.44281086,"cube(max(rh, (thetae - (thetaestar * 1.4638436)) - 0.37374625)) * 1.5966314",0.034686040956136886
19,0.4310404,"(3.9055529 - lf) * cube(max((thetae * 0.73333305) - thetaestar, rh) - 0.22673588)",0.013470452534648856
21,0.429665,"cube((max(rh, (thetae * 0.73564565) - thetaestar) * 1.0991266) - 0.2816589) * (3.382209 - lf)",0.0015979929610430849
23,0.42945838,"(cube((max(rh, (thetae * 0.72276103) - thetaestar) * 1.2301897) - 0.39263672) * (3.1185439 - lf)) + 0.06727544",0.00024050096737411386
25,0.40816805,cube(rh) + ((((thetaestar - thetae) * -1.7033055) - (cube(lf + -1.293698) * (shf + 0.2956878))) - 1.3774241),0.025422928248031218
27,0.3962425,cube(rh) + (((-2.0435812 - (((lf + -0.9411144) * (shf + 0.26401094)) * -1.7684733)) * ((thetaestar * 1.2383093) - thetae)) - 1.7498387),0.014826289644612195
29,0.39035884,(cube(rh) + (((thetaestar * 1.2445214) - thetae) * (-1.7848357 - ((cube(lf + -0.9179307) * (shf + 0.23199204)) * -2.4603791)))) - 1.4642637,0.007479989457334101
30,0.38915792,"cube(rh) + max(((((thetaestar * 1.2499253) - thetae) * -2.7070756) - ((shf + 0.33606243) * cube(lf + -1.2947186))) - 2.7466514, 0.15545459)",0.003081193405265488
32,0.3839132,"(cube(rh) + ((-1.5250677 - ((cube(lf + -0.67670393) * (shf + 0.14041615)) * -6.888924)) * (thetaestar - thetae))) - max(0.84633046, neg(lhf))",0.006784369938921572
34,0.37898213,"cube(rh) + (((-1.5880141 - (((shf + 0.12544581) * -5.3638897) * cube(lf + -0.71321434))) * ((thetaestar * 1.2222891) - thetae)) - max(neg(lhf), 0.9843681))",0.006463715897379578
