complexity,loss,equation,score
1,0.6950536,0.6442329,0.0
2,0.54304135,rh,0.24680349684569305
4,0.35798353,rh * 1.9838449,0.20834924414583345
6,0.3229056,exp(rh) + -0.6369078,0.05156347965568823
7,0.30056265,4.718742 ^ (rh + -0.5527735),0.0717038023424308
9,0.2982806,(5.883343 ^ (rh + -0.637027)) + 0.10359782,0.003810781947826224
10,0.27363735,(thetae + (rh - thetaestar)) - 0.4437662,0.08623096461714208
11,0.19880146,cube(((thetaestar * -1.4352204) + thetae) + -0.18479428),0.31949705132932443
12,0.19880071,cube(thetae + ((thetaestar + 0.12837118) / -0.69631076)),3.772615224991383e-06
13,0.1917828,cube((((thetaestar + 0.25675097) * -1.443594) + thetae) * 1.1956263),0.03593938396314054
14,0.18983655,rh + cube(thetae + ((thetaestar + 0.2343715) * -1.5179324)),0.010200042917636428
15,0.1734124,"cube(max(rh, (thetaestar * -1.4521507) + (thetae + -0.20206179)))",0.09049086601691164
16,0.16261618,cube((((rh * -0.11662762) + thetaestar) * -1.466332) + (thetae + -0.28395808)),0.06427987258878085
17,0.14480442,"cube(max(rh, ((thetaestar + 0.25492355) * -1.4615145) + thetae) * 1.1645838)",0.11600869581057784
19,0.14437816,"cube((max(((thetaestar + 0.24181692) * -1.4675679) + thetae, rh) * 1.2221448) - 0.07670681)",0.0014740179326007152
20,0.13723797,"cube(max(rh, (thetaestar * -1.4840289) + (thetae + -0.2807161)) - (rh * -0.1370878))",0.0507195422075126
