complexity,loss,equation,score
1,0.6503029,-0.012280993,0.0
2,0.5008331,rh,0.2611653424944411
4,0.40678692,rh * 0.6166124,0.10399170079290916
5,0.34732673,"max(rh, -0.4895652)",0.15802358831697658
7,0.32363278,(2.2427948 ^ rh) + -1.0793848,0.035328221997737594
8,0.3111596,(exp(rh) * 0.73881376) - 0.8477498,0.03930351412722094
9,0.29174694,-1.1029273 - (1.6348673 / (rh + -1.712938)),0.06441918114568557
11,0.28417906,"max((1.9469227 - lf) * cube(rh), -0.50560564)",0.01314112511900594
13,0.25857252,"max(rh + ((thetae - thetaestar) - 1.1226586), -0.48361024)",0.04721416812582403
14,0.19225176,(20.206873 ^ ((thetae - (thetaestar * 1.4532596)) - 1.2085596)) - 0.6683854,0.29637043309985195
15,0.18977274,"max((2.917452 ^ (thetae - (thetaestar * 1.4466423))) + -3.2526307, -0.49781168)",0.0129785120977668
16,0.1867288,"(4.87853 - lf) * max((thetae - (thetaestar * 1.4036236)) - 1.1026126, -0.10012528)",0.016169954173212674
17,0.17529793,"max(-0.45041084, rh + (((thetae - (thetaestar * 1.4896197)) - 1.2232804) * 3.3009675))",0.06317031329040303
18,0.17262924,"max((rh + (2.5836358 ^ (thetae - (thetaestar * 1.5120323)))) - 3.218374, -0.46566933)",0.015340810189414765
19,0.15949468,"max((((thetae - (thetaestar * 1.4677231)) - 1.1469057) * 2.712204) + cube(rh), -0.48613155)",0.07913560590281601
20,0.15513776,"(max(0.39071515, rh) + (19.950754 ^ ((thetae - (thetaestar * 1.4737912)) - 1.2784129))) - 1.0466107",0.027697071049783868
21,0.14671446,"max(((3.046941 - lf) * ((thetae - (thetaestar * 1.4395782)) - 1.1296873)) + cube(rh), -0.50328505)",0.055825247588338324
23,0.13634825,"max(-0.48234642, ((3.4139202 - lf) * ((thetae - (thetaestar * 1.3738388)) - 0.7462406)) + (cube(rh) + -1.1932083))",0.036637987103049566
24,0.13296539,"max(-0.51613873, ((3.8105488 - lf) ^ ((thetae - (thetaestar * 1.3870358)) - 0.56246036)) + (cube(rh) + -2.0445185))",0.025123405799141317
25,0.12913223,"max(cube(rh) + (((lhf + 4.0002437) ^ ((thetae - (thetaestar * 1.4765913)) - 0.8245002)) + -1.5624651), -0.51101196)",0.029251950665435775
27,0.12520503,"(max(1.1976095, cube(rh) + ((lhf + 4.9614954) ^ ((thetae - (thetaestar * 1.4729962)) - 0.75587))) + -1.8481877) * 0.79072255",0.015442142275017789
28,0.12516306,"max(-0.6698261, (((5.011169 - neg(lhf)) ^ ((thetae - (thetaestar * 1.4772346)) - 0.754004)) + cube(rh)) + -1.8368455) * 0.76973045",0.00033526637035203764
29,0.11773495,"((exp(rh + -0.7001434) + square(min(0.58247715 - lf, shf) - -0.7995049)) * max(thetae - thetaestar, 0.6023294)) - 0.9105648",0.06118145564322654
31,0.11383973,"((exp(rh + -0.67346215) + square(min(0.6763569 - lf, shf) - -0.75144136)) * max(thetae - (thetaestar * 1.2626342), 0.70646155)) - 0.94912213",0.016822164767643363
32,0.101710916,"(((exp(rh + -1.1265001) + abs(min(0.66546816 - lf, shf) - -0.5574508)) * max(thetae - thetaestar, 0.40747538)) ^ 1.4974196) - 0.6637553",0.11265694943456528
33,0.10064578,"(((square(min(shf - -0.69417095, exp(neg(lf)))) + exp(rh + -1.0156395)) * max(0.24879842, thetae - thetaestar)) ^ 1.4217105) - 0.6235616",0.01052740885901092
34,0.10038198,"(((square(min(shf - -0.6986558, exp(-0.031137034 - lf))) + exp(rh + -1.0049926)) * max(0.2967459, thetae - thetaestar)) ^ 1.4256653) - 0.63889927",0.002624514658302831
