complexity,loss,equation,score
1,0.41097036,srmed,0.0
3,0.40959555,srmed * 1.0409496,0.0016754428494518887
5,0.40948486,(srmed * 1.0622245) + -0.03276999,0.00013513935789744692
6,0.3940711,srmed + (lhf * -0.15315841),0.03836858082232758
7,0.3915477,srmed * (0.8733548 ^ lhf),0.00642400278080679
8,0.3896554,((lhf * -0.14602534) + 1.0516279) * srmed,0.004844588304955817
10,0.3820698,"(shf * min(lf, -0.017431488)) + srmed",0.00982972217832232
11,0.3800845,((shf * (lf + -1.4636393)) * 0.5586786) + srmed,0.0052097180066478415
12,0.36308178,(((0.0034552496 ^ lf) * shf) * -0.04679485) + srmed,0.045765498274055724
14,0.35485673,"srmed + (min(-0.013946193, lf * 2.8968315) * (shf + -0.09085588))",0.011456983797955525
16,0.3541489,"srmed + ((min(-0.0059497473, lf) * ((shf + -0.12938327) * 2.8697844)) - 0.066424854)",0.0009983421925178304
17,0.34956002,"(srmed + (min(0.12764496, lf) * (shf * 2.2951086))) - (lhf * 0.22581416)",0.013042168192162543
19,0.34727195,"(srmed + (min(0.071175486, lf) * ((shf * 2.435208) + -0.13744226))) - (lhf * 0.15780434)",0.0032835436971380455
20,0.34618,"(srmed + (min(lf, 0.106686234) * (shf + (shf * srmed)))) - (lhf * 0.18459359)",0.0031493195815975416
