complexity,loss,equation,score
1,0.741568,0.83597267,0.0
4,0.71252733,1.0177364 - shf,0.013316198024233299
5,0.71033007,0.77908146 ^ sef,0.0030885199692255445
6,0.6912856,0.94523793 - (shf * 0.6035465),0.02717669691809415
7,0.6656595,"min(1.0436536 - shf, 1.3567239)",0.03777477387405134
8,0.65639025,"0.25018957 ^ max(shf, -0.22852518)",0.014022773182623235
9,0.6530859,((rh + 2.5349004) - sef) * 0.31674537,0.00504683802547752
10,0.64995444,"(0.00072372996 ^ max(shf, 0.025920551)) + 0.48747545",0.004806399207015568
12,0.6351322,(sef + -3.4973495) * ((thetaestar - thetae) * 0.2555429),0.011534550962328933
13,0.6278562,"(0.14871685 ^ max(-0.105893664, shf)) + (rh * 0.31461224)",0.01152200684440025
15,0.62758106,"((0.09980494 ^ max(-0.064403914, shf)) + (rh * 0.29942277)) + 0.06944975",0.00021915870523468348
16,0.6185437,"(0.033620827 ^ max(-0.012278443, shf)) + ((rh + thetae) * 0.23440576)",0.01450499779924908
18,0.6181285,"((0.057568133 ^ max(shf, -0.06808077)) * 0.901572) + ((thetae + rh) * 0.23509924)",0.0003357397502754929
19,0.60992056,"(0.034757935 ^ max(lf * 0.08378116, shf)) + ((rh + thetae) * 0.23440576)",0.013367645467520936
