complexity,loss,equation,score
1,0.4405671,srmed,0.0
3,0.4402249,srmed * 1.0191344,0.0003885139933350591
4,0.43973142,"max(srmed, 0.06493034)",0.001121601244327011
5,0.4397314,"max(srmed, neg(-0.064108595))",4.54823092872845e-08
6,0.42527393,srmed + (lhf * -0.14345402),0.03343058349017707
8,0.42222995,srmed * (1.0453409 - (lhf * 0.13344769)),0.003591715815544649
9,0.4167591,((lf - 1.3529369) * shf) + srmed,0.01304171381696278
10,0.41170064,"srmed + (min(0.01762763, lf) * shf)",0.012211873720734569
11,0.40669203,((lf - 1.2895681) * (shf + -0.09811315)) + srmed,0.012240267337852854
12,0.39280415,srmed + ((0.008122045 ^ lf) * (shf * -0.0819609)),0.034745074369179625
13,0.39027295,((exp(shf) + -1.0975552) * (lf + -1.533995)) + srmed,0.006464775475105995
14,0.3835057,(((shf - 0.09130019) * (0.006611605 ^ lf)) * -0.07021254) + srmed,0.01749188232265512
15,0.38333866,"min(shf * (lf + -1.2382079), 1.1294965 - lhf) + srmed",0.0004356555550385301
16,0.38077083,((((shf - 0.15487222) * -0.03627837) * (0.0024552252 ^ lf)) + srmed) - 0.118777215,0.00672113015243705
17,0.37212965,"(min(shf * (lf + -1.1487409), 0.9590706 - lhf) + srmed) - -0.16894004",0.0229553830333687
19,0.37145182,"srmed + min((exp(shf) + -1.1003046) * (lf + -1.2116383), 1.1753592 - lhf)",0.0009115748779375197
