complexity,loss,equation,score
1,0.9714466,0.61917657,0.0
2,0.44149587,sr_atm,0.7886176352333262
4,0.44133893,sr_atm - 0.017547533,0.00017776825477786647
5,0.44042495,"max(sr_atm, 0.0702451)",0.0020730727308291407
6,0.423373,sr_atm + (lhf * 0.15588644),0.039486469104206064
7,0.42249584,(1.1284627 ^ lhf) * sr_atm,0.0020739865873755457
8,0.40829912,sr_atm + (shf * (0.97034466 - lf)),0.03417955754968307
9,0.40222815,((1.9555932 - lf) ^ shf) * sr_atm,0.014980578101164406
10,0.39449883,sr_atm * (((0.9451508 - lf) * shf) + 0.9696133),0.019403290441997845
11,0.39332107,(((0.00079588563 ^ lf) * shf) + 0.97455406) * sr_atm,0.002989924162607234
12,0.38327885,(((0.9201691 - lf) * (shf - -0.23920682)) + 0.8545861) * sr_atm,0.025863458186540067
14,0.3822848,((shf + 1.0803756) - (((shf * 1.0971658) + 0.2450012) * lf)) * sr_atm,0.001298455796133888
15,0.37839538,(((shf + shf) - -0.28858972) * (3.971665e-5 ^ lf)) + (sr_atm * 0.888121),0.010226252759784777
17,0.3783629,((lf + ((shf + shf) - -0.28854546)) * (1.5198656e-5 ^ lf)) + (sr_atm * 0.8875991),4.291991363469924e-05
18,0.37160015,"sr_atm + min((4.2875163e-6 ^ lf) * ((shf + shf) + 0.17077233), lhf - -1.0947057)",0.018035377374142757
20,0.37136814,"(((8.041612e-6 ^ lf) * (shf + (shf + 0.12929733))) + sr_atm) + min(0.047342975, lhf - -1.0631764)",0.0003122744411359722
22,0.3680466,"(((1.0854344e-5 ^ lf) * (shf + shf)) + min((shf * -0.21981065) + 0.16787341, lhf - -1.0766786)) + sr_atm",0.004492150565211288
24,0.3676303,"((((1.1797165e-5 ^ lf) * (shf + shf)) + 0.15654932) + sr_atm) + min((lf * shf) * -0.27130082, lhf - -0.9709845)",0.0005658734757538834
25,0.36432967,"((2.5534422e-5 ^ lf) * (shf + shf)) + ((sr_atm + 0.16703035) + min((sr_atm * shf) * -0.212766, lhf - -0.88541085))",0.009018669072155962
