complexity,loss,equation,score
1,1.2714785,0.74996495,0.0
2,0.68788034,sr_atm,0.6143207771686728
4,0.67538965,sr_atm * 0.9059235,0.00916255740318928
6,0.6749387,(sr_atm * 0.88600475) + 0.035414636,0.0003339558239773829
7,0.6633401,(lhf * 0.135248) + sr_atm,0.01733404193037641
9,0.6601563,(sr_atm * 0.9483407) - (lhf * -0.11603683),0.002405602419066698
10,0.63902235,"(min(-0.989098, lhf) + sr_atm) - -1.1071177",0.03253719487359826
12,0.6360309,"((sr_atm - -1.3335996) * 0.9169111) + min(lhf, -1.0327514)",0.002346141613058901
13,0.63396865,"max(sr_atm - ((lhf - shf) * -0.33056664), 0.14240123)",0.003247641800465149
15,0.62729543,"max(0.16338767, sr_atm + ((lhf * 0.41551635) - (shf * 0.6054018)))",0.005290947689723777
17,0.62678945,"max((((sr_atm + (lhf * 0.4238412)) * 1.5068657) - shf) * 0.6427409, 0.16395807)",0.00040346553532741574
18,0.6220922,"max(sr_atm, ((sr_atm + (lhf * 0.41969383)) * 1.4530301) - shf) * 0.6641414",0.007522365549778073
19,0.62067676,"sr_atm + ((1.3275923 - max(sr_atm * shf, neg(cube(lhf)))) * 0.2019341)",0.002277882144771092
21,0.61680436,"(max(cube(neg(lhf)), sr_atm * (shf - -0.5906949)) * -0.21063846) + (sr_atm - -0.32913178)",0.0031292700772136742
23,0.6165751,"(max(cube(neg(lhf)), (shf - -0.5992076) * abs(sr_atm)) * -0.21504979) + (sr_atm - -0.33890027)",0.0001858795367326672
25,0.6141364,"sr_atm + ((max(shf * sr_atm, cube(neg(lhf))) - 1.3958265) * (min(-0.3677438, shf) * 0.45593616))",0.0019815392899549603
