complexity,loss,equation,score
1,0.85865635,0.5790906,0.0
2,0.33138368,sr_atm,0.9520919255771698
4,0.32376394,sr_atm * 1.1030427,0.011631094076697119
5,0.2797936,sr_atm + shf,0.1459624815131192
7,0.25883895,sr_atm * (shf + 1.0614126),0.03892306743396016
9,0.2571537,(shf + 0.99992156) * (sr_atm + 0.08177365),0.003266046507089966
10,0.25688723,"min(4.3448863, sr_atm * (shf + 1.0713427))",0.0010367657838789195
11,0.25196555,((sr_atm + 0.48469463) * (shf + 0.9751999)) - 0.3502642,0.019344823005689293
12,0.25143972,sr_atm - ((shf + -2.1210582) * (shf + 0.09301626)),0.0020890929141063382
13,0.2492915,"min(sr_atm, shf * 1.9720713) + (sr_atm + 0.16184026)",0.008580384422005802
14,0.24702762,((shf + 0.9497191) * ((sr_atm + 1.711431) - shf)) - 1.4131522,0.009122742242213069
16,0.24639487,(((shf + 1.3007499) * (sr_atm + (2.6561034 - shf))) - 3.173304) * 0.7338479,0.0012823703006461463
17,0.24560826,"min(5.9315147, (shf + 0.977619) * ((sr_atm + 1.7223125) - shf)) - 1.5047385",0.003197584008163598
18,0.24500492,"(sr_atm - (shf * (shf - (min(1.7008874, sr_atm) - -0.8379244)))) + 0.1728912",0.0024595356535244044
20,0.2443665,"max((sr_atm - (shf * ((shf + -1.2873574) - (sr_atm * 0.60755664)))) + 0.16382943, 0.08325624)",0.001304572224870597
22,0.24436583,"max((sr_atm - (shf * ((shf + -1.2873574) - ((sr_atm * 0.5960695) + 0.0114871245)))) + 0.16382943, 0.08325624)",1.3708935522501328e-06
