complexity,loss,equation,score
1,0.9714466,0.6193295,0.0
2,0.4414324,sr_atm,0.7887614068221764
4,0.44138417,sr_atm - 0.010166279,5.463196057589171e-05
5,0.44035873,"max(0.07034371, sr_atm)",0.0023259398228263712
7,0.42336845,sr_atm - (lhf * -0.15545017),0.01967342504700181
9,0.42121327,sr_atm * (1.0187443 - (lhf * -0.13606218)),0.0025517775566650286
10,0.42040405,"sr_atm - (min(0.9461201, lhf) * -0.21619342)",0.0019230123481132995
11,0.4140838,(sr_atm + 0.6077668) - abs(shf + -0.4562873),0.015147903837593178
12,0.40649372,sr_atm - ((abs(shf) + -1.2309597) * shf),0.018499888886967197
14,0.39779732,"sr_atm + max(0.5810227 - abs(shf + -0.45750198), -0.24873798)",0.010812925285328769
16,0.39321572,"max(-0.28262788, (abs(shf + -0.41302127) + -0.50917286) * -1.6025654) + sr_atm",0.005792131107707749
19,0.3909781,"max(0.10696425, sr_atm + ((-0.06517071 - shf) * cube(abs(shf) + -1.4391421)))",0.0019022729804703974
22,0.3887029,"max(((-0.0628658 - shf) * cube(abs(shf) + -1.4509593)) + sr_atm, sr_atm * 0.60063267)",0.0019454165298503241
24,0.38699812,"max((sr_atm + 0.17124425) * 0.4626643, sr_atm + ((-0.06287745 - shf) * cube(abs(shf) + -1.4527073)))",0.0021977317300794653
