complexity,loss,equation,score
1,0.99821365,0.6407609,0.0
2,0.846922,rh,0.16435873087323627
4,0.67114085,1.953891 * rh,0.11631478757916064
6,0.63580734,exp(rh) + -0.6526901,0.027041716301921405
7,0.61421084,4.796604 ^ (rh + -0.56203526),0.034557336095661355
8,0.61420923,exp((rh + -0.5656667) * 1.5762134),2.6212531678629528e-06
9,0.5626118,cube((thetae * 0.859781) - thetaestar),0.08774576568722627
11,0.49494565,cube((thetae - 0.1865932) - (thetaestar * 1.4435033)),0.06407095566210463
13,0.48600668,cube((-0.4817367 - (thetae * -1.2200025)) - (thetaestar * 1.776064)),0.009112794949325837
14,0.48221198,(((0.8896575 - thetae) * -0.69034964) - thetaestar) * (rh + 4.6185064),0.007838558760670652
15,0.4670396,"cube(max(rh, (thetae * 0.7009181) - thetaestar) * 1.1846229)",0.03196975925358372
16,0.4644852,cube(rh) + (3.8295305 * (((0.88613105 - thetae) * -0.6863562) - thetaestar)),0.005484355118903061
17,0.4404129,"cube(max(rh, (thetae - 0.37418097) - (thetaestar * 1.4700238)) * 1.170975)",0.05321699955617464
19,0.43892086,"cube(max((thetae - 0.43601307) - (thetaestar * 1.4619559), rh + -0.08810347) * 1.243436)",0.001696786248605205
20,0.43462512,cube(rh) + ((neg(lhf) + 4.0739484) * (((0.9047366 - thetae) * -0.6881422) - thetaestar)),0.009835257047385181
23,0.42722404,"cube(rh) + ((neg(lhf) + 4.2834907) * max(((0.9284569 - thetae) * -0.7005496) - thetaestar, 0.030371582))",0.0057251023190458645
24,0.423664,"((neg(max(lf, shf)) + 3.9524772) * (((0.8351751 - thetae) * -0.7525194) - thetaestar)) + cube(rh)",0.008367871225891544
25,0.40381765,"(cube(rh) + ((thetae - thetaestar) * 1.6851608)) + neg(max((shf * 2.4717758) - lf, lf))",0.04797727356424539
27,0.4015281,"(cube(rh) + (((thetae - thetaestar) * 1.9851416) + neg(max((shf * 2.4666572) - lf, lf)))) - 0.34723863",0.0028429480981484356
29,0.39452764,"cube(rh) + ((((-0.36445495 - (thetae * -0.8508899)) - thetaestar) * 3.0012171) + neg(max((shf * 2.2341025) - lf, lf)))",0.008794158640770195
