complexity,loss,equation,score
1,0.99821275,0.64032483,0.0
2,0.84692323,rh,0.16435637694536928
4,0.67114055,rh * 1.9543555,0.11631573723767472
6,0.6358065,exp(rh) - 0.65282214,0.02704215337974158
7,0.6142047,4.8442283 ^ (rh + -0.565318),0.03456601155712993
8,0.6142023,exp((rh - 0.5647601) * 1.5786622),3.907499713169902e-06
9,0.56264937,cube((thetae * 0.85976803) - thetaestar),0.0876677072143083
11,0.4948936,cube(thetae + ((thetaestar * -1.4499341) - 0.1890441)),0.06415692776258956
12,0.49377984,(2.9384158 ^ (thetae + (-1.4491082 * thetaestar))) - 2.638165,0.002253040136565304
13,0.48594397,cube(1.2107209 * ((thetae + (thetaestar * -1.4491082)) - 0.38397685)),0.015996420643751567
14,0.4687837,"cube(max(rh, ((thetaestar * -1.4675332) + thetae) - 0.20677482))",0.03595186115471819
15,0.45544112,cube(thetae + (thetaestar * -1.4814564)) / (2.2828844 - rh),0.028875024233577084
16,0.44023493,"cube(max(rh, thetae + ((thetaestar * -1.4712145) - 0.37600216))) * 1.5844133",0.033957927560561596
18,0.43923488,"cube(max((((thetaestar * -1.4644057) - 0.41825828) + thetae) * 1.0589002, rh)) * 1.5537354",0.001137106037812621
20,0.4307742,"(1.4047548 ^ rh) * cube(max(rh, (thetae + (thetaestar * -1.4814564)) - 0.27975836))",0.00972512462726729
22,0.42080694,"((7.0916657 - lhf) / 4.0962214) * cube(max((thetae - 0.39721027) + (thetaestar * -1.4563574), rh))",0.011704950613257175
24,0.41936085,"(cube(max((thetae - 0.41600075) + (thetaestar * -1.4656007), rh)) * (7.0921926 - max(lhf, -1.4656007))) / 3.957957",0.0017211936058833947
25,0.39773467,"abs((max(shf, lf) - 0.9085229) * 2.1539268) * cube(max((thetae - 0.38983914) + (thetaestar * -1.3498272), rh))",0.05294664179364199
27,0.3959542,"(abs((max(shf, lf) - 0.9085229) * 2.1539268) * cube(max((thetae - 0.38983914) + (thetaestar * -1.3498272), rh))) - -0.05014179",0.002243288338721496
28,0.39151922,"((abs(max(lf, shf) - 0.9777629) - -0.3573179) * cube(max(rh, (thetaestar * -1.3677105) + (thetae - 0.3820989)))) / 0.6686386",0.01126394054310079
29,0.38666755,"((abs(max(lf * 0.5937548, shf) - 0.5904619) - -0.28876546) * cube(max(rh, thetae + ((thetaestar * -1.4154487) - 0.3991394)))) * 2.15498",0.012469327544536822
30,0.38294014,"(abs(max(lf * 0.46741474, shf) - 0.4828469) - -0.35730168) * (cube(max(rh, (thetae + (thetaestar * -1.3497647)) - 0.33167416)) / 0.48580617)",0.009686595374936659
