complexity,loss,equation,score
1,0.9714456,0.61948746,0.0
2,0.8154577,rh,0.17503572066963213
4,0.6466561,rh * 1.9537953,0.11596746382390152
6,0.6134365,exp(rh) + -0.65221834,0.026368934369022896
7,0.59142303,0.20505565 ^ (0.56488234 - rh),0.03654520615659539
9,0.55518055,cube((thetae * 0.85562384) - thetaestar),0.031619085998369365
11,0.4952907,cube(((-0.13121958 - thetaestar) * 1.444917) + thetae),0.057074256619688034
13,0.48731858,cube(((thetae + -0.38026223) * 0.6905704) - thetaestar) * 5.313511,0.008113392666635742
14,0.4658873,"cube(max(rh, (thetae * 0.7042584) - thetaestar) * 1.1868709)",0.044974318202802
15,0.45967737,cube((thetae * 0.6752761) - thetaestar) * abs(rh + 1.4809264),0.013418885539522833
16,0.45109874,cube((thetae - 0.3070901) - (thetaestar * 1.4880556)) + cube(rh),0.018838622605019815
18,0.4437651,cube((thetae - 0.26701027) - (thetaestar * 1.471546)) + (cube(rh) * 0.70302874),0.008195441429254529
19,0.4407513,"cube(max(((rh * 0.14065294) + (thetae * 0.6746978)) - thetaestar, rh)) * 1.5438995",0.006814597588197641
20,0.44039118,"cube((thetae - 0.28349453) - (thetaestar * 1.4784993)) + max(-0.04984583, cube(rh * 0.9190837))",0.0008173933914766024
