complexity,loss,equation,score
1,0.99821365,0.6406965,0.0
2,0.846922,rh,0.16435873087323627
4,0.67114085,rh * 1.9538538,0.11631478757916064
6,0.6358074,exp(rh) + -0.65266764,0.027041669117819137
7,0.6142049,4.8521333 ^ (rh + -0.56547666),0.03456710145684751
9,0.6121448,(6.143212 ^ (rh + -0.6528288)) + 0.10832316,0.0016798649992169718
10,0.6055635,(5.4586515 - lf) ^ (rh + -0.5369639),0.010809426332771929
11,0.60312325,((-2.918141 - lhf) * 0.22159241) + exp(rh),0.004037858966431966
12,0.57837915,"(-0.47127002 - max(shf, -0.17488368)) + exp(rh)",0.041891948057658814
13,0.54093677,"square(max(shf, lf) + -0.93624467) + rh",0.06692722661631459
15,0.50589955,"cube(rh) + square(max(shf, lf) + -0.9460017)",0.03348213203351157
17,0.4864579,"(cube(rh) * 1.3522819) + square(max(lf, shf) + -0.9465443)",0.0195938851985879
18,0.4864562,"square(max(lf, shf) + -0.94707507) + cube(rh / 0.90698516)",3.494655900291986e-06
19,0.478746,"((cube(rh) + square(max(lf, shf) + -0.9162266)) - 0.16969691) * 1.3569779",0.015976681371996277
21,0.46735427,"(cube(rh) + abs(0.50770766 - square(max(lf, shf) + -1.1133302))) * 1.2807156",0.012041303580169152
23,0.46660534,"(cube(rh) + abs((0.50856733 - square(max(lf, shf) + -1.1269009)) * -0.8877258)) * 1.33849",0.0008018870971587445
24,0.46637744,"(cube(max(-0.7015905, rh)) + abs(0.5160971 - square(max(lf, shf) + -1.1203576))) * 1.2663404",0.0004885406449468674
25,0.465974,"max(1.227429, thetaerot) * (cube(rh) + abs(0.51969856 - square(max(shf, lf) + -1.1327705)))",0.0008654247912782826
26,0.45833927,"(cube(rh) + abs(0.47937295 - square(max(lf, shf) + -1.115195))) * ((thetaerot + 4.6150694) * 0.25874102)",0.01652016450173808
28,0.4578544,"((thetaerot + 4.730327) * 0.2530707) * (cube(rh) + abs(0.52286845 - square(max(lf + 0.053254373, shf) + -1.137722)))",0.0005292222170306677
29,0.45765397,"((cube(max(-0.7869837, rh)) + abs(0.47620285 - square(max(lf, shf) + -1.1047052))) * (thetaerot + 4.571363)) * 0.2650552",0.00043785509727696655
30,0.45551884,"((cube(rh) + abs(0.5100987 - square(max(shf, lf) + -1.1888211))) / 4.5022025) * (thetaerot + (rh + 4.1467457))",0.004676297558343411
