complexity,loss,equation,score
1,0.9966985,0.63507897,0.0
2,0.4475015,sr_atm_eq,0.8007684273412895
4,0.44670933,sr_atm_eq + -0.035791196,0.0008858875118195458
6,0.44231844,(lf * -0.17259474) + sr_atm_eq,0.0049390197379427115
7,0.43111432,(lhf * 0.14863873) + sr_atm_eq,0.0256567766127075
9,0.412986,sr_atm_eq - (shf * (lf + -0.9696741)),0.02147980223549005
11,0.40171883,sr_atm_eq - (shf * cube(lf + -1.1761811)),0.013830639018421055
12,0.40085334,sr_atm_eq - (sr_atm_eq * (shf * (lf + -0.9693157))),0.002156791296422554
13,0.39481142,sr_atm_eq - ((shf + 0.09023529) * cube(lf + -1.1841254)),0.015187391568645453
14,0.39346397,(sr_atm_eq - (shf * (lf + -0.7699801))) - (lhf * -0.2108433),0.003418732411234857
15,0.3901678,(square(cube(lf + -1.119217)) * (shf + 0.08229833)) + sr_atm_eq,0.008412597768042006
16,0.3875763,"sr_atm_eq - (sr_atm_eq * (shf * (lf + min(lhf, -0.88980144))))",0.006664170363888206
17,0.38528395,((cube(square(lf + -1.1194116)) * (shf + 0.16447811)) + sr_atm_eq) - 0.16019657,0.005932137724411918
18,0.3850184,"sr_atm_eq - ((shf * (lf + min(lhf, -0.88709223))) * (sr_atm_eq + 0.2392444))",0.0006894695583351171
19,0.38111827,"sr_atm_eq - (min(sr_atm_eq, shf * 2.0486944) * (lf + min(lhf, -0.83864486)))",0.010181378449661204
20,0.38108167,"sr_atm_eq - ((shf * (lf + min(lhf, -0.8724637))) * (sr_atm_eq - (lf + -0.8724637)))",9.6037792992072e-05
