complexity,loss,equation,score
1,3.5048778,-0.40977135,0.0
3,3.4998991,lf * -0.71896625,0.0007107579455349418
5,3.4594574,exp(lf) * -0.26071954,0.00581119177283637
6,3.458679,"min(lf * -0.71988666, -0.25689286)",0.00022503170168331483
7,3.4581978,-0.26152903 - (lf * (lf - 0.5274718)),0.00013913794178785731
8,3.4574883,"min(lf * -0.72021186, lf + -0.2579565)",0.00020518571613287016
9,3.456806,"max(-0.9677377 - (lf + lhf), -0.44615924)",0.0001973592597049451
10,3.4412663,abs((lf - 1.0611415) * shf) + -0.5966755,0.0045055272290181235
11,3.4054434,"((lf - 0.9858489) * min(-0.32492295, lhf)) + -0.6646846",0.010464362726518236
13,3.375701,"cube((lf - 1.1249624) * min(-0.6222251, lhf)) + -0.67745775",0.004386072463550651
15,3.3709803,"((lf - 0.91396123) * min(neg(shf), cube(lhf))) + -0.4134396",0.0006997070945684708
16,3.3443282,"square((lf - 0.8899955) * (shf + min(0.72993785, lhf))) + -0.6367562",0.007937755932159363
18,3.3370044,"square(((lf - 0.9630408) * (min(shf, lhf) - -0.2281565)) * 1.6315035) + -0.57463473",0.0010961590107547226
19,3.3369963,"square(((lf - 0.9858489) * (min(shf, lhf) - -0.22176395)) / 0.63610387) + -0.57463473",2.4273296824605686e-06
20,3.3350983,"square(((lf - 0.9630408) * (min(shf - lf, lhf) - -0.2281565)) * 1.6315035) + -0.57463473",0.0005689367927118517
22,3.3273082,"(square(((lf - 0.9902637) * (min(shf, lhf) - -0.21753237)) * -1.4790816) + -0.48096135) + (lf * -0.21753237)",0.0011692627206315886
23,3.321261,"square(((lf - 0.90180737) * (min(shf, lhf - (lf * shf)) - -0.21311162)) * 1.779756) + -0.59765756",0.0018190986618823522
25,3.3154237,"square(((lf - 1.1101644) * 1.3992573) * ((min(shf, lhf) - (lf * (lf * shf))) - -0.22767454)) + -0.6029751",0.0008795508253184621
27,3.3094368,"(square(((lf - 0.90180737) * (min(shf, lhf - (lf * shf)) - -0.21311162)) * 1.779756) + -0.51187503) + (lf * -0.2514998)",0.0009037022937750682
29,3.305505,"(square(((lf - 1.195712) * 1.2765192) * ((min(shf, lhf) - ((lf * 0.74345034) * shf)) - -0.24316296)) + (lf * -0.3117485)) + -0.4808956",0.0005943817167100448
